type,keywords
institutions,"IIT,NIT,ICTS,TIFR,NBHM,ISI,IISER,CMI,HRI,NISER,IISc,BITS,RRI,IMSc,IUCAA,HBCSE,NCRA,NCM,DST,CSIR,UGC,DAE,DBT,SERB,INSA,DRDO,ISRO,BARC,IGNOU,NAAC,AICTE,UGC-DAE,IIM,NIT Trichy,IIT Madras,IIT Bombay,IIT Delhi,IIT Kanpur,IIT Kharagpur,IIT Roorkee,IIT Guwahati,IIT Hyderabad,IIT BHU,IIT Mandi,IIT Palakkad,Anna University,Jadavpur,Calcutta University,Delhi University,BHU,Osmania,Madurai Kamaraj,Bharathidasan,Manonmaniam,Periyar University,Calicut University,Kerala University,MG University,Cochin University,CUSAT"
states,"Kerala,Tamil Nadu,Maharashtra,Karnataka,Delhi,Gujarat,Rajasthan,West Bengal,Andhra Pradesh,Telangana,Uttar Pradesh,Madhya Pradesh,Bihar,Odisha,Assam,Punjab,Haryana,Himachal Pradesh,Uttarakhand,Goa,Jharkhand,Chhattisgarh,Tripura,Meghalaya,Manipur,Nagaland,Mizoram,Arunachal Pradesh,Sikkim,Jammu and Kashmir,Ladakh,Puducherry,Chandigarh"
cities,"Mumbai,Bengaluru,Bangalore,Chennai,Kolkata,Hyderabad,Pune,Delhi,New Delhi,Ahmedabad,Jaipur,Bhopal,Lucknow,Kanpur,Varanasi,Allahabad,Prayagraj,Kochi,Thiruvananthapuram,Coimbatore,Madurai,Bhubaneswar,Guwahati,Dehradun,Shimla,Chandigarh,Srinagar,Jammu,Patna,Ranchi,Raipur,Indore,Nagpur,Surat,Vadodara,Vijayawada,Visakhapatnam,Mysuru,Mangaluru,Kozhikode,Thrissur,Erode,Tirunelveli,Vellore,Salem,Tiruchirappalli,Trichy,Pondicherry,Puducherry,Shillong,Imphal,Agartala,Gangtok,Itanagar,Kohima,Aizawl,Dispur,Silvassa,Daman,Kavaratti,Port Blair"
other,"India,Indian,Bharat,subcontinental,₹,Rs.,INR,rupee,.ac.in,.edu.in,GATE 2026,NET 2026,JAM 2026,SET 2026"
